Translation Label	English Text	Translator Notes
// Generic dialog options		
		
DIALOG.OK	OK	
DIALOG.CANCEL	Cancel	
		
// Grid titlebar		
		
GRAPH.TITLEBAR.SHOW_HIDE	Show/Hide Graph	
GRAPH.TITLEBAR.SHOW_HIDE_CONTROLS	Show/Hide Graph Controls	
		
GRID.TITLEBAR.CANCEL	Cancel	
GRID.TITLEBAR.LOADING	Loading...	
GRID.TITLEBAR.WORKING	Working...	
GRID.TITLEBAR.LOADED	Loaded	
GRID.TITLEBAR.NOT_LOADED	Not Loaded	
GRID.TITLEBAR.RECORD_COUNT_SINGULAR	%d record	"Record" as in a row from a database.
GRID.TITLEBAR.RECORD_COUNT_PLURAL	%d records	
GRID.TITLEBAR.GROUP_COUNT_SINGULAR	%d group	
GRID.TITLEBAR.GROUP_COUNT_PLURAL	%d groups	
GRID.TITLEBAR.SELECTED_COUNT_SINGULAR	%d record selected	
GRID.TITLEBAR.SELECTED_COUNT_PLURAL	%d records selected	
GRID.TITLEBAR.CLEAR_FILTER	clear filter	
GRID.TITLEBAR.DATA_LIMITED_WARNING	To save time, not all records were retrieved. As a result, some functionality is reduced. Click to fetch all data (this may take some time).	
		
GRID.TITLEBAR.GENERATE_CSV	Generate CSV	
GRID.TITLEBAR.DOWNLOAD_CSV	Download CSV	
GRID.TITLEBAR.REFRESH	Refresh	
GRID.TITLEBAR.SHOW_HIDE	Show/Hide Grid	
GRID.TITLEBAR.SHOW_HIDE_CONTROLS	Show/Hide Grid Controls	
GRID.TITLEBAR.SHOW_DEBUG_INFO	Show Grid Debug Info	
		
// Grid toolbar		
		
GRID_TOOLBAR.PLAIN.SHOW_MORE_ON_SCROLL	Show More on Scroll	
GRID_TOOLBAR.PLAIN.SHOW_ALL_ROWS	Show All Rows	
GRID_TOOLBAR.PLAIN.COLUMNS	Columns	
GRID_TOOLBAR.PLAIN.TEMPLATES_EDITOR	Templates Editor	"Handlebars" is the name of a JavaScript library, not the part on a bicycle.
GRID_TOOLBAR.PLAIN.ROW_MODE	Row Mode
GRID_TOOLBAR.PLAIN.ROW_MODE.WRAPPED	Wrapped	Cells wrap text to multiple lines
GRID_TOOLBAR.PLAIN.ROW_MODE.CLIPPED	Clipped	Single-line cells with text truncated
GRID_TOOLBAR.PLAIN.AUTO_RESIZE_COLUMNS	Auto-resize Columns
		
GRID_TOOLBAR.GROUP.MODE.SUMMARY	Summary	
GRID_TOOLBAR.GROUP.MODE.DETAIL	Detail	
GRID_TOOLBAR.GROUP.TOTAL_ROW	Total Row	
GRID_TOOLBAR.GROUP.PIN_GROUPS	Pin Groups	To "pin" is to force the group header to always be visible on screen.
GRID_TOOLBAR.GROUP.EXPAND_ALL	Expand All Groups	
		
GRID_TOOLBAR.PIVOT.TOTAL_ROW_COLUMN	Total Row/Column	
GRID_TOOLBAR.PIVOT.HIDE_ZERO_VALUES	Hide Zero Values	
		
GRID_TOOLBAR.PREFS.RESET.CONFIRM	Are you sure you want to reset all configuration, delete all perspectives, and start over?	
GRID_TOOLBAR.PREFS.NEW_PERSPECTIVE	New Perspective...	
GRID_TOOLBAR.PREFS.NEW_PERSPECTIVE.PROMPT	Enter new perspective name	
GRID_TOOLBAR.PREFS.DELETE_PERSPECTIVE.CONFIRM	Are you sure you want to delete this perspective?	
GRID_TOOLBAR.PREFS.RENAME_PERSPECTIVE.PROMPT	Rename perspective "%s" to what?	
		
GRID_TOOLBAR.PREFS.BACKEND_DOES_NOT_SAVE	The preferences system is not configured to permanently save perspectives.	
GRID_TOOLBAR.PREFS.SAVE.HELP	Click to save the current configuration.  The next time this grid is visited, the previously saved configuration will automatically be used.	
GRID_TOOLBAR.PREFS.SAVE_AS.HELP	This pre-defined perspective cannot be saved with this name.  Click to save with a new name.  After that, any changes will be saved under the new name.	
GRID_TOOLBAR.PREFS.RESET.TOOLTIP	Reset	
GRID_TOOLBAR.PREFS.BACK.TOOLTIP	Back	"Back" as in to go backwards through history.
GRID_TOOLBAR.PREFS.FORWARD.TOOLTIP	Forward	"Forward" as in to go forwards through history.
GRID_TOOLBAR.PREFS.RENAME.TOOLTIP	Rename	
GRID_TOOLBAR.PREFS.DELETE.TOOLTIP	Delete	
GRID_TOOLBAR.PREFS.INFO.TOOLTIP	Info	
GRID_TOOLBAR.PREFS.SAVE.TOOLTIP	Save	
GRID_TOOLBAR.PREFS.SAVE_AS.TOOLTIP	Save As...	
		
GRID_TOOLBAR.RENDERER.DISPLAY_OPTIONS	Display Options	
		
GRID_TOOLBAR.MIRAGE.STORE_DISPLAYED_DATA	Store Displayed Data	
		
// Perspective window		
		
GRID.PERSPECTIVE_WIN.TITLE	Perspective	
GRID.PERSPECTIVE_WIN.TEMP_PERSPECTIVE_WARNING	This perspective is temporary; the configuration below does not reflect the current state of any bound prefs modules.	
		
// Column configuration		
		
GRID.COLCONFIG_WIN.TITLE	Columns	
GRID.COLCONFIG_WIN.TBL.FIELD	Field	
GRID.COLCONFIG_WIN.TBL.DISPLAY	Display	
GRID.COLCONFIG_WIN.TBL.OPTIONS	Options	
GRID.COLCONFIG_WIN.REORDER_COLS	Click and drag to reorder columns	
GRID.COLCONFIG_WIN.RENAME_COL	Rename column in table.	
GRID.COLCONFIG_WIN.RENAME_COL.PROMPT	Rename field "%s" to what?	
GRID.COLCONFIG_WIN.PIN_COL	Pin column to left side of table?	
GRID.COLCONFIG_WIN.HIDE_COL	Hide column?	
GRID.COLCONFIG_WIN.ALLOW_HTML	Allow HTML to be rendered?	
GRID.COLCONFIG_WIN.ALLOW_FORMATTING	Allow embedded DataVis formatting?	
GRID.COLCONFIG_WIN.MOVE_COL_TO_TOP	Move to top of column list	
GRID.COLCONFIG_WIN.MOVE_COL_TO_BOTTOM	Move to bottom of column list	
GRID.COLCONFIG_WIN.PINNED_COL_WARNING	Pinned columns always appear before any others in plain (non-grouped) output, in the relative order shown above.	
GRID.COLCONFIG_WIN.RESET_COL_ORDER	Reset Column Order	
		
// Grid controls		
		
GRID_CONTROL.FIELD	Field	"Field" as in a property of a data object, not like a green grassy place with deer.
GRID_CONTROL.SELECT_FIELD	Select Field	
GRID_CONTROL.SELECT_AGGREGATE	Select Aggregate	
