ID,Name,Resource,Start,End,Duration,Completion,Dependencies
1,Task 1,Tom,1/16/15,1/21/15,5,50,
2,Task 2,Tom,1/22/15,1/23/15,1,70,1
3,Task 3,Dick,1/22/15,1/28/15,6,10,1
4,Task 4,Tom,1/27/15,1/29/15,2,20,3
5,Task 5,Harry,1/28/15,2/4/15,7,40,3
6,Task 6,Harry,2/5/15,2/9/15,4,40,5
7,Task 7,Tom,1/28/15,2/5/15,8,80,"2,3"
8,Task 8,Dick,2/4/15,2/6/15,2,20,5
9,Task 9,Dick,2/7/15,2/10/15,3,10,8
10,Task 10,Harry,2/9/15,2/12/15,3,80,9
11,Task 11,Tom,2/12/15,2/15/15,3,50,10
12,Task 12,Dick,2/15/15,2/17/15,2,30,"6,10"
